timestamp,priceChangePercent,volumeRatio
2000-03-20,-0.062485,0.438412
2000-03-21,-4.947026,0.667953
2000-03-22,0.724985,0.287121
2000-03-23,1.765524,0.392114
2000-03-24,-4.177068,0.292302
2000-03-27,-6.573084,0.492350
2000-03-28,-7.465554,0.501976
2000-03-29,-6.594417,0.595818
2000-03-30,-0.581686,0.456863
2000-03-31,12.928301,1.202624
2000-04-03,-7.822884,0.395061
2000-04-04,-3.692070,0.618963
2000-04-05,22.250264,0.843616
2000-04-06,4.635205,0.534674
2000-04-07,6.905475,0.436830
2000-04-10,-8.835963,0.620379
2000-04-11,-5.949405,0.853439
2000-04-12,-10.376469,0.652110
2000-04-13,-4.282769,0.701598
2000-04-14,-8.802464,0.993473
2000-04-17,5.110021,0.703735
2000-04-18,17.718417,1.152423
2000-04-19,-4.772669,0.676611
2000-04-20,-0.539430,0.372025
2000-04-24,-4.961609,0.507303
2000-04-25,10.929938,0.616954
2000-04-26,-1.029470,0.638855
2000-04-27,8.172404,0.719014
2000-04-28,-2.060310,0.469454
2000-05-01,3.226041,0.320829
2000-05-02,-3.872291,0.708967
2000-05-03,-1.625548,1.012064
2000-05-04,1.221499,0.763220
2000-05-05,4.612858,0.576111
2000-05-08,-3.663390,0.650948
2000-05-09,-1.408346,0.636687
2000-05-10,-9.857248,1.027228
2000-05-11,4.278798,0.954448
2000-05-12,-3.039369,0.738699
2000-05-15,6.896390,1.137532
2000-05-16,10.263778,1.520475
2000-05-17,17.553262,5.276140
2000-05-18,-6.787329,1.787436
2000-05-19,-0.849555,1.755722
2000-05-22,6.487582,1.640652
2000-05-23,-0.804633,2.353778
2000-05-24,-1.274833,2.070559
2000-05-25,-1.408409,1.492004
2000-05-26,0.506061,0.463391
2000-05-30,4.115811,0.766556
2000-05-31,3.867979,1.158401
2000-06-01,2.793150,1.004517
2000-06-02,12.147264,1.404597
2000-06-05,2.149325,1.120135
2000-06-06,-4.987535,0.825741
2000-06-07,-4.454241,0.715119
2000-06-08,0.768430,0.974980
2000-06-09,2.846691,0.969747
2000-06-12,-2.669219,0.770939
2000-06-13,3.148827,0.891160
2000-06-14,-0.098302,0.538519
2000-06-15,2.612119,0.668816
2000-06-16,15.081468,2.153779
2000-06-19,6.260353,2.180411
2000-06-20,-1.335363,1.198727
2000-06-21,10.151212,1.196833
2000-06-22,-5.457058,1.215162
2000-06-23,-9.441753,1.216468
2000-06-26,12.072393,1.233570
2000-06-27,-14.124296,1.156127
2000-06-28,-3.859514,1.090333
2000-06-29,-14.416105,2.178643
2000-06-30,8.422203,2.077093
2000-07-03,-3.834707,0.379572
2000-07-05,-10.736257,1.296461
2000-07-06,6.070972,0.973858
2000-07-07,0.539903,0.546860
2000-07-10,5.155740,0.559320
2000-07-11,8.069521,1.213887
2000-07-12,2.835329,0.605557
2000-07-13,9.375210,0.719023
2000-07-14,-0.756366,0.432954
2000-07-17,-1.100616,0.163834
2000-07-18,-1.969307,0.306045
2000-07-19,-6.375468,0.340392
2000-07-20,2.705214,0.266933
2000-07-21,1.271652,0.491960
2000-07-24,-8.520318,0.569088
2000-07-25,-3.725587,0.701979
2000-07-26,-7.433623,0.819976
2000-07-27,-7.150663,0.733088
2000-07-28,2.369490,1.166401
2000-07-31,11.111122,0.914555
2000-08-01,-1.979222,0.963184
2000-08-02,2.019186,0.933816
2000-08-03,4.375189,1.058500
2000-08-04,1.796232,0.578809
2000-08-07,7.843020,0.750710
2000-08-08,-2.181858,0.395749
2000-08-09,-2.973836,0.466027
2000-08-10,1.149427,0.559154
2000-08-11,-2.367262,0.498499
2000-08-14,0.969859,0.422086
2000-08-15,9.438012,1.722411
2000-08-16,2.523655,0.984692
2000-08-17,1.883476,0.473423
2000-08-18,3.529216,0.748387
2000-08-21,1.542243,1.712731
2000-08-22,-9.432408,2.350126
2000-08-23,5.825397,1.189744
2000-08-24,2.668840,1.126858
2000-08-25,-2.518331,0.518413
2000-08-28,4.000006,0.682664
2000-08-29,-0.240345,0.557072
2000-08-30,0.883425,0.690011
2000-08-31,1.114682,1.557358
2000-09-01,0.157530,0.814209
2000-09-05,0.157272,0.979893
2000-09-06,-6.907463,0.916310
2000-09-07,5.396395,0.935625
2000-09-08,-5.920055,0.851648
2000-09-11,-4.081692,1.079871
2000-09-12,-0.620535,0.462398
2000-09-13,-0.044520,0.878033
2000-09-14,-0.936954,0.822123
2000-09-15,2.184642,0.930725
2000-09-18,-5.841032,0.613954
2000-09-19,3.090010,1.139572
2000-09-20,-3.269757,0.888739
2000-09-21,4.295775,1.479044
2000-09-22,1.733034,1.653609
2000-09-25,7.168259,1.973480
2000-09-26,2.394663,1.335214
2000-09-27,5.483752,2.599936
2000-09-28,3.058233,1.165586
2000-09-29,-2.819066,1.270895
2000-10-02,-2.366396,1.160704
2000-10-03,-5.394932,1.000044
2000-10-04,-1.157079,1.384910
2000-10-05,-2.340913,1.680539
2000-10-06,-6.250204,3.144165
2000-10-09,2.191786,1.813086
2000-10-10,-7.595945,1.077889
2000-10-11,0.870498,1.338149
2000-10-12,-3.930938,0.967339
2000-10-13,3.991716,1.364094
2000-10-16,-2.303251,0.768745
2000-10-17,-7.269198,1.029336
2000-10-18,-1.588882,0.910072
2000-10-19,9.688023,0.630612
2000-10-20,9.322628,0.832987
2000-10-23,-2.243991,0.391613
2000-10-24,-3.214086,0.430316
2000-10-25,-8.728551,0.869076
2000-10-26,4.261945,0.619441
2000-10-27,-2.293316,0.495612
2000-10-30,-7.040531,0.460157
2000-10-31,9.138003,0.729738
2000-11-01,-0.025110,0.742705
2000-11-02,7.646031,0.477109
2000-11-03,6.541945,0.692928
2000-11-06,7.719411,1.815699
2000-11-07,-6.759014,0.741560
2000-11-08,-2.969393,0.549664
2000-11-09,-10.440942,1.748204
2000-11-10,-5.427342,2.432300
2000-11-13,0.425266,1.548113
2000-11-14,18.306796,1.337625
2000-11-15,-1.319274,1.203156
2000-11-16,-6.276954,0.667923
2000-11-17,-1.934093,0.511268
2000-11-20,-7.692507,0.880645
2000-11-21,-1.922833,1.108491
2000-11-22,-5.228774,1.155854
2000-11-24,5.746756,0.464059
2000-11-27,-3.369609,1.037600
2000-11-28,-7.451940,1.067035
2000-11-29,-6.168292,1.730146
2000-11-30,-16.062297,2.551711
2000-12-01,9.876750,1.873339
2000-12-04,1.544628,1.058374
2000-12-05,6.500916,2.175502
2000-12-06,-14.285779,1.995663
2000-12-07,-1.818194,1.536168
2000-12-08,22.839722,1.577327
2000-12-11,0.000000,1.363923
2000-12-12,-2.763748,0.740395
2000-12-13,-7.751922,1.233971
2000-12-14,-6.863060,1.021042
2000-12-15,-9.924524,1.938587
2000-12-18,3.297060,1.084578
2000-12-19,-7.555923,1.498346
2000-12-20,-10.838598,1.665076
2000-12-21,-12.549216,1.207486
2000-12-22,25.784750,1.314901
2000-12-26,-4.100111,0.451812
2000-12-27,6.691492,0.446661
2000-12-28,0.522454,0.553192
2000-12-29,-9.142128,0.662890
2001-01-02,-8.630781,0.402413
2001-01-03,30.688602,1.304258
2001-01-04,11.501604,1.132878
2001-01-05,-14.971614,0.608921
2001-01-08,9.520148,0.837856
2001-01-09,1.999742,0.449256
2001-01-10,6.938087,0.607580
2001-01-11,8.321822,0.712277
2001-01-12,-2.083540,1.061262
2001-01-16,-7.845432,0.658623
2001-01-17,3.607261,0.952131
2001-01-18,19.185628,1.587465
2001-01-19,-2.658765,1.665231
2001-01-22,-3.961668,0.613792
2001-01-23,9.969103,0.748945
2001-01-24,-0.426438,0.808955
2001-01-25,-10.045785,0.824708
2001-01-26,3.172836,0.481559
2001-01-29,0.491721,0.662813
2001-01-30,2.203381,0.458907
2001-01-31,-1.077921,0.691096
2001-02-01,0.514623,0.712515
2001-02-02,-9.665554,0.647559
2001-02-05,-0.133658,0.781728
2001-02-06,0.534247,0.536319
2001-02-07,-4.648299,1.598032
2001-02-08,-0.556731,0.814742
2001-02-09,-0.700769,0.550908
2001-02-12,-2.679312,0.767236
2001-02-13,3.043021,1.048498
2001-02-14,7.313830,1.539622
2001-02-15,18.348414,2.443519
2001-02-16,5.426635,2.341874
2001-02-20,-9.979144,1.508846
2001-02-21,4.550680,1.344171
2001-02-22,4.241104,1.658408
2001-02-23,-6.905838,2.029560
2001-02-26,-2.242639,1.393481
2001-02-27,-5.999847,0.946245
2001-02-28,-10.513152,1.367997
2001-03-01,7.901810,1.525077
2001-03-02,-9.623688,2.250782
2001-03-05,0.967654,1.091471
2001-03-06,9.659470,1.190011
2001-03-07,8.031193,1.295040
2001-03-08,3.356974,1.092809
2001-03-09,-7.076373,1.591893
2001-03-12,-3.620452,0.945609
2001-03-13,11.916921,1.302298
2001-03-14,5.671110,1.557478
2001-03-15,4.928946,2.057723
2001-03-16,-0.417283,1.261877
2001-03-19,5.764797,0.966345
2001-03-20,-9.316099,2.052325
2001-03-21,7.432014,1.814976
2001-03-22,10.071061,1.549179
2001-03-23,-0.924169,1.324236
2001-03-26,5.410404,1.325814
2001-03-27,-3.628278,1.414523
2001-03-28,0.068753,1.135941
2001-03-29,1.491219,1.261736
2001-03-30,-6.080447,1.069976
2001-04-02,-4.211686,0.950831
2001-04-03,3.316313,1.467956
2001-04-04,-10.311243,2.376998
2001-04-05,9.219311,1.123039
2001-04-06,-0.397306,0.979182
2001-04-09,-4.861490,0.686965
2001-04-10,9.439846,0.735140
2001-04-11,6.036583,0.881293
2001-04-12,1.502540,0.887489
2001-04-16,-2.434083,0.477252
2001-04-17,4.902185,0.704967
2001-04-18,7.455032,1.450961
2001-04-19,8.594153,1.018888
2001-04-20,3.647193,1.115797
2001-04-23,-5.278295,0.777507
2001-04-24,-7.077657,1.157148
2001-04-25,4.598728,0.893017
2001-04-26,-7.881359,0.940292
2001-04-27,7.118591,0.578439
2001-04-30,5.442835,1.023359
2001-05-01,9.339840,1.200767
2001-05-02,-2.294579,0.976362
2001-05-03,-0.438264,0.614500
2001-05-04,1.376873,0.660805
2001-05-07,4.486860,0.694672
2001-05-08,-7.235052,1.177600
2001-05-09,-4.686394,0.940861
2001-05-10,-3.362326,0.709156
2001-05-11,-2.556494,0.664091
2001-05-14,0.857558,0.516027
2001-05-15,3.590989,0.914923
2001-05-16,4.715689,0.701347
2001-05-17,1.766385,0.708374
2001-05-18,-0.804731,0.456374
2001-05-21,4.519136,0.885870
2001-05-22,2.993345,0.880011
2001-05-23,-0.850194,1.944956
2001-05-24,1.476315,1.406008
2001-05-25,-1.893664,0.786676
2001-05-29,-4.100169,0.762929
2001-05-30,-1.865081,2.819716
2001-05-31,-0.799516,1.013940
2001-06-01,5.536710,0.830385
2001-06-04,-1.549409,0.503517
2001-06-05,5.250016,0.810601
2001-06-06,0.427349,0.573683
2001-06-07,5.647722,0.973395
2001-06-08,-2.597375,0.612559
2001-06-11,-2.925173,0.506404
2001-06-12,3.332716,0.973993
2001-06-13,-3.359028,0.814722
2001-06-14,-0.213391,0.832153
2001-06-15,1.560158,0.963129
2001-06-18,-3.955892,0.748027
2001-06-19,-5.466172,1.305252
2001-06-20,4.299122,1.488724
2001-06-21,1.888610,1.219714
2001-06-22,-0.446967,0.645549
2001-06-25,-0.197138,0.564822
2001-06-26,2.886195,0.678069
2001-06-27,-3.093243,0.807253
2001-06-28,1.177669,0.919476
2001-06-29,0.902866,0.752523
2001-07-02,-4.431283,1.087070
2001-07-03,1.275000,0.415590
2001-07-05,-7.251883,1.075377
2001-07-06,-3.074760,0.832244
2001-07-09,-3.271365,1.069997
2001-07-10,0.819957,1.268945
2001-07-11,-0.190564,0.909366
2001-07-12,5.244879,0.996612
2001-07-13,-2.068470,0.699212
2001-07-16,-8.041047,1.223217
2001-07-17,5.587834,1.194891
2001-07-18,-3.460314,0.845422
2001-07-19,1.607834,0.873984
2001-07-20,-2.878968,0.811272
2001-07-23,-9.467356,1.762911
2001-07-24,6.769936,1.488210
2001-07-25,-0.967102,1.306396
2001-07-26,10.196907,1.752565
2001-07-27,2.531548,1.074275
2001-07-30,-2.382771,0.566280
2001-07-31,2.314340,1.163515
2001-08-01,6.106509,1.171868
2001-08-02,2.376525,1.027871
2001-08-03,-0.785176,0.765211
2001-08-06,3.027911,1.204714
2001-08-07,-1.480696,1.001625
2001-08-08,-2.542333,1.042125
2001-08-09,-1.750846,1.506182
2001-08-10,-0.117837,0.921856
2001-08-13,4.194055,1.326818
2001-08-14,-2.653396,2.004766
2001-08-15,0.116586,1.494501
2001-08-16,4.211676,0.811686
2001-08-17,-6.475191,1.310479
2001-08-20,-0.692455,0.896606
2001-08-21,-2.103762,0.911729
2001-08-22,4.113703,1.158975
2001-08-23,-2.217438,0.776567
2001-08-24,2.858461,0.874619
2001-08-27,3.459357,1.006768
2001-08-28,-1.303507,0.902661
2001-08-29,-3.215264,1.099874
2001-08-30,-0.320384,1.086826
2001-08-31,0.833103,0.665778
2001-09-04,-6.952977,1.388271
2001-09-05,2.131403,1.754761
2001-09-06,-4.087124,1.363659
2001-09-07,1.049084,1.338678
2001-09-10,-2.896493,1.258201
2001-09-17,-10.269346,0.744220
2001-09-18,-6.031135,0.591865
2001-09-19,-1.220982,1.084832
2001-09-20,-8.462743,1.030588
2001-09-21,-6.613691,0.846150
2001-09-24,11.234683,1.056302
2001-09-25,-3.900001,0.652454
2001-09-26,-3.607507,0.301033
2001-09-27,-5.541395,0.658536
2001-09-28,4.647730,0.761332
2001-10-01,-8.482094,0.710528
2001-10-02,-5.011933,0.829548
2001-10-03,19.681937,1.331474
2001-10-04,12.980757,1.446570
2001-10-05,1.889398,0.772017
2001-10-08,2.249010,0.544686
2001-10-09,-4.339840,0.678856
2001-10-10,6.432536,0.757697
2001-10-11,10.831895,0.747200
2001-10-12,6.507097,1.065585
2001-10-15,-0.445278,0.793502
2001-10-16,10.062143,1.220856
2001-10-17,-5.869172,1.464218
2001-10-18,4.220700,0.876530
2001-10-19,2.070918,0.927411
2001-10-22,2.366966,0.856241
2001-10-23,-1.761834,0.860920
2001-10-24,4.416159,1.094435
2001-10-25,5.860889,1.005038
2001-10-26,-7.138642,0.946715
2001-10-29,-8.124066,0.865095
2001-10-30,-0.166328,0.991655
2001-10-31,2.047727,0.849467
2001-11-01,8.539433,0.973000
2001-11-02,1.397075,1.006910
2001-11-05,0.360483,0.864120
2001-11-06,6.865150,1.300160
2001-11-07,0.079221,1.274481
2001-11-08,-1.738257,1.685818
2001-11-09,6.934678,1.914537
2001-11-12,2.688047,1.179375
2001-11-13,-0.823714,1.144133
2001-11-14,-2.786970,0.907529
2001-11-15,0.531579,0.705510
2001-11-16,-0.868680,0.402420
2001-11-19,-2.191067,1.612886
2001-11-20,-2.804838,0.748322
2001-11-21,-1.282480,0.581539
2001-11-23,1.400758,0.206791
2001-11-26,7.147129,1.027315
2001-11-27,1.065041,0.995464
2001-11-28,-5.047151,0.618222
2001-11-29,4.380832,4.360522
2001-11-30,1.921210,0.746575
2001-12-03,-1.518893,0.616115
2001-12-04,8.046765,1.010502
2001-12-05,8.066661,1.225603
2001-12-06,-1.575656,0.809256
2001-12-07,-3.056297,0.579191
2001-12-10,1.000828,0.520089
2001-12-11,3.583940,0.629147
2001-12-12,3.109100,0.819483
2001-12-13,-2.876150,0.732161
2001-12-14,4.505555,0.633976
2001-12-17,3.595418,0.912680
2001-12-18,-2.573567,0.730844
2001-12-19,-2.732020,0.736250
2001-12-20,-3.941794,0.822395
2001-12-21,4.329711,0.619947
2001-12-24,2.492964,0.222706
2001-12-26,2.447455,0.561438
2001-12-27,2.315421,0.653860
2001-12-28,-2.407082,0.678837
2001-12-31,-1.196308,0.822041
2002-01-02,0.597880,1.471959
2002-01-03,6.552713,1.563603
2002-01-04,-2.914395,1.033079
2002-01-07,-2.686101,1.121343
2002-01-08,1.180862,0.900967
2002-01-09,-1.371156,1.330300
2002-01-10,-2.396164,1.127711
2002-01-11,-4.425037,1.551307
2002-01-14,-5.248031,1.506778
2002-01-15,9.337302,1.970136
